Designator,Mid X,Mid Y,Layer,Rotation
C1, 9.65, 8.13,Top,270.0
C2, 8.64, 8.13,Top,270.0
C5, 6.48, 8.13,Top,270.0
CHARGING, 1.91,-6.10,Top,270.0
J1, 2.92,-9.14,Top,180.0
R1, 7.49, 8.13,Top,270.0
R3, 3.05,-0.64,Top,0.0
R5, 4.45,-6.10,Top,180.0
R10, 3.05, 0.64,Top,0.0
U1,17.78, 0.00,Top,180.0
C3, 9.02,-5.59,Bottom,90.0
C4,16.26, 7.75,Bottom,0.0
C6, 9.27, 6.35,Bottom,270.0
C7,25.15, 4.83,Bottom,270.0
C10,19.18, 3.66,Bottom,90.0
C11,17.65, 3.35,Bottom,90.0
C12,15.75, 3.20,Bottom,90.0
CH,11.56,-6.96,Bottom,90.0
D1, 9.14, 1.57,Bottom,180.0
D3, 9.14, 3.56,Bottom,180.0
IC3,17.55,-0.25,Bottom,0.0
J2, 3.86,-9.09,Bottom,0.0
J3, 0.00, 0.00,Bottom,90.0
LDO,12.57, 6.48,Bottom,180.0
Q1,22.10,-1.78,Bottom,270.0
Q2,12.70, 2.54,Bottom,90.0
R2,16.89,-5.08,Bottom,270.0
R4,21.59, 4.83,Bottom,90.0
R6,23.11, 4.83,Bottom,90.0
R7,24.13, 4.83,Bottom,90.0
R8,17.91,-5.08,Bottom,270.0
R9,22.05,-3.58,Bottom,0.0
R11,13.84,-5.08,Bottom,270.0
R12,21.08,-8.00,Bottom,90.0
R13,20.07,-8.00,Bottom,90.0
R14,21.97, 0.00,Bottom,180.0
R15,15.88,-5.08,Bottom,270.0
R16,14.86,-5.08,Bottom,270.0
R17,11.05, 0.00,Bottom,180.0
R18,13.11, 0.00,Bottom,0.0
R19,26.16, 4.83,Bottom,270.0
R20,20.37, 9.02,Bottom,90.0
RESET, 3.45,10.50,Bottom,180.0
